id,lambda,omega,z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,time,lb,ubm,ubb,states...
lambda0.1omega0n15,0.1,0,-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13187e+07,32028.9,227289,95071.1,0,3.13187e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15575e+07,32307.3,227020,97465,0,6.41811e+07,0,0,0,0,0,0,0,0,3.2365e+07,33156.5,228645,101761,0,0,9117,-8.1498e+07,-8.20036e+07,-7.88259e+07,15,21,30,
lambda0.1omega0n15nox,0.1,0,-6.16332e+06,33735.4,246974,793220,793220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51541e+07,31269.5,224580,2.72859e+06,3.42945e+06,-2.51541e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91058e+07,32259.6,226727,-3.22902e+06,103255,2.90366e+06,0,0,0,0,0,0,0,0,-73074.1,33138.4,228393,-1746.36,0,0,594,3.85211e+06,2.65424e+06,2.93556e+06,15,21,30,
lambda0.1omega0.5n15,0.1,0.5,-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08058e+07,31524.6,225528,93310.2,0,3.08058e+07,-271.216,-910.009,0,0,0,0,0,0,0,0,0,0,0,0,3.17583e+07,32497.4,226657,97101.6,0,6.38477e+07,156.861,-565.524,0,0,0,0,0,0,3.27021e+07,33465.9,228507,101623,0,0,8956,-8.22763e+07,-8.27689e+07,-7.99944e+07,15,21,30,
lambda0.1omega0.5n15nox,0.1,0.5,-2.48321e+07,33735.4,246974,3.19589e+06,3.19589e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53069e+06,31208.7,224666,-766085,2.33736e+06,3.53069e+06,-39.8848,-731.141,0,0,0,0,0,0,0,0,0,0,0,0,1.94207e+07,32122.5,225443,-2.14031e+06,101159,2.30985e+07,36.3372,539.906,0,0,0,0,0,0,-96770.9,33110.7,228664,621.016,0,0,379,9.81087e+06,3.60813e+06,6.14792e+06,15,21,30,
lambda0.1omega1n15,0.1,1,-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07532e+07,31489.9,225165,92946.9,0,3.07532e+07,-185.626,-1071.41,0,0,0,0,0,0,0,0,0,0,0,0,3.09334e+07,32377.7,226002,191871,95423.3,6.2968e+07,74.7024,-845.139,0,0,0,0,0,0,3.30324e+07,33156.4,227528,5220.43,0,0,6321,-8.36669e+07,-8.28244e+07,-7.98366e+07,15,21,30,
lambda0.1omega1n15nox,0.1,1,-2.31577e+06,33735.4,246974,298040,298040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219820,31489.9,225165,-12675.4,192417,219820,-261.319,-1498.31,0,0,0,0,0,0,0,0,0,0,0,0,-70196.8,32302,225575,1033.01,97430,158783,11.7438,482.763,0,0,0,0,0,0,-104499,33092.3,228839,4524.65,0,0,8580,2.37642e+06,2.49196e+06,2.64644e+06,15,21,30,
lambda0.55omega0n15,0.55,0,-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08646e+07,31587.8,225298,93081.1,0.762081,3.08646e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1805e+07,32569.8,227512,97956.7,0,6.39557e+07,0,0,0,0,0,0,0,0,3.24404e+07,33226.6,228424,101540,0,0,8846,-5.42942e+07,-5.54839e+07,-4.90228e+07,15,21,30,
lambda0.55omega0n15nox,0.55,0,-3.15329e+06,33735.4,246974,405829,405829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300832,31973,225813,-39754.6,272480,300832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284633,33047.9,228223,-36475.2,137337,598000,0,0,0,0,0,0,0,0,269724,33521.8,228932,-35289.3,0,0,10196,3.06827e+06,3.08137e+06,3.22369e+06,15,21,30,
lambda0.55omega0.5n15,0.55,0.5,-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06535e+07,31376.9,224610,92424.4,32.6732,3.06535e+07,-298.403,-1289.48,0,0,0,0,0,0,0,0,0,0,0,0,3.12954e+07,32045.7,225484,96971,1074.59,6.32261e+07,-3.4877,457.543,0,0,0,0,0,0,3.21143e+07,32887.1,228061,100103,0,0,8998,-5.92702e+07,-5.77107e+07,-5.0237e+07,15,21,30,
lambda0.55omega0.5n15nox,0.55,0.5,-3.03231e+06,33735.4,246974,390259,390259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283723,31718.5,225395,-37343.4,259738,283723,-117.611,-263.293,0,0,0,0,0,0,0,0,0,0,0,0,277213,32596.5,227351,-36292.6,125649,572759,-411.802,-818.183,0,0,0,0,0,0,187147,32605.1,227980,-24553.7,0,0,10420,2.96699e+06,2.94109e+06,3.05639e+06,15,21,30,
